330230	Valangaiman	15
330231	Kudavasal	15
330232	Koradachery	15
330233	Nannilam	15
330234	Thiruvarur	15
330235	Mannargudi	15
330236	Needamangalam	15
330237	Kottur	15
330238	Thiruthuraipoondi	15
330239	Muthupettai	15
330240	Manikandam	16
330241	Andhanallur	16
330242	Manapparai	16
330243	Lalgudi	16
330244	Mannachanallur	16
330245	Marungapuri	16
330246	Musiri	16
330247	Pullambadi	16
330248	Trichy-Urban	16
330249	Trichy-West	16
330250	Thiruverumbur	16
330251	Thottiyam	16
330252	Thuraiyur	16
330253	T.Pet	16
330254	Vaiyampatti	16
330255	Thathiengarpet	16
330256	Uppiliyapuram	16
330257	Karur	17
330258	Kulithalai	17
330259	Krishnarayapuram	17
330260	K.paramathi	17
330261	Kadavoor	17
330262	Thogamalai	17
330263	Aravakurichi	17
330264	Thanthoni	17
330265	Thogaimalai	17
330266	Veppur	18
330267	Veppanthattai	18
330268	Alathur	18
330269	Perambalur	18
330270	Thirumanur-Perambalur	18
330271	Thirumayam	19
330272	Pudukkottai	19
330273	Karambakkudi	19
330274	Viralimalai	19
330275	Avudaiyarkoil	19
330276	Kunnandarkoil	19
330277	Arimalam	19
330278	Gandarvakkottai	19
330279	Annavasal	19
330280	Aranthangi	19
330281	Manamelkudi	19
330282	Ponnamaravathy	19
330283	Thiruvarankulam	19
330284	Alanganallur	20
330285	chellampatti	20
330286	Kallikudi	20
330287	Kottampatti	20
330288	Madurai north	20
330289	Madurai south	20
330290	Madurai west	20
330291	Melur	20
330292	Sedapatti	20
330293	T.vadipatti	20
330294	T.kallupatti	20
330295	Thirumangalam	20
330296	Thiruparamkundram	20
330297	Usilampatti	20
330298	Madurai east	20
330299	Aundipatty	21
330300	Bodinayakanur	21
330301	Chinnamanur	21
330302	Cumbum	21
330303	Myladumparai	21
330304	Periyakulam	21
330305	Theni	21
330306	Uthamapalayam	21
330307	Vadugapatti	21
330308	Batlagundu	22
330309	Guziliamparai	22
330310	Kodaikanal	22
330311	Natham	22
330312	Reddiarchathram	22
330313	Sanarpatty	22
330314	Thoppampatty	22
330315	Vadamadurai	22
330316	Vedasandur	22
330317	Athoor	22
330318	Oddanchathram	22
330319	Dindigul	22
330320	Dindigul -Urban	22
330321	Palani	22
330322	Palani - Urban	22
330323	Reddiyarchatram	22
330324	Gujiliamparai	22
330325	Nilakottai	22
330326	Kodikanal	22
330327	Ramanathapuram	23
330328	Bogalur	23
330329	Kadaladi	23
330330	Kamuthi	23
330331	Mandapam	23
330332	Mudukulathur	23
330333	Nainarkoil	23
330334	Paramakudi	23
330335	Rajasingamangalam	23
330336	Thiruppullani	23
330337	Thiruvadanai	23
330338	Aruppukottai	24
330339	Kariapatti	24
330340	Narikudi	24
330341	Rajapalayam	24
330342	Sattur	24
330343	Sivakasi	24
330344	Srivilliputhur	24
330345	Thiruchuli	24
330346	Vembakottai	24
330347	Virudhunagar	24
330348	Watrap	24
330349	Viruthunagar	24
330350	Kariyapatti	24
330351	Sivagangai	25
330352	Manamadurai	25
330353	Thiruppuvanam	25
330354	Devakottai	25
330355	Kannangudi	25
330356	Sakkottai	25
330357	Singampunari	25
330358	S.pudur	25
330359	Kallal	25
330360	Iiayankudi	25
330361	Thiruppatur	25
330362	Kalayarkoil	25
330363	Alangulam	26
330364	Ambasamudram 	26
330365	Cheranmahadevi	26
330366	Kadayam	26
330367	Kadayanallur	26
330368	Kalakad	26
330369	Keelapavoor	26
330370	Kuruvikulam	26
330371	Manur	26
330372	Melaneelithanallur	26
330373	Nanguneri	26
330374	Palay-Rural	26
330375	Pappakudi	26
330376	Radhapuram	26
330377	Sankarankovil	26
330378	Shenkottai	26
330379	Tenkasi	26
330380	Valliyoor	26
330381	Vasudevanallur	26
330382	Palay-Urban	26
330383	Tirunelveli-Urban	26
330384	Tirunelveli Urban	26
330385	Karunkulam	27
330386	Kayathar	27
330387	Kovilpatti	27
330388	Ottapidaram	27
330389	Pudur	27
330390	Sattankulam	27
330391	Tiruchendur	27
330392	Thoothukudi Rural	27
330393	Udangudi	27
330394	Vilathikulam	27
330395	Thoothukudi Urban	27
330396	Thiruchenthur	27
330397	Sathankulam	27
330398	Alwarthirunagar	27
330399	Srivaikundam	27
330400	Thovalai	28
330401	Rajakkamangalam	28
330402	Kurunthancode	28
330403	Thuckalay	28
330404	Thiruvattar	28
330405	Melpuram	28
330406	Killiyoor	28
330407	Munchirai	28
330408	Nagarcoil	28
330409	Agastheeswaram	28
330410	TNagar	29
330411	Adyar	29
330412	Egmore	29
330413	George town	29
330414	Mylapore	29
330415	Perambur	29
330416	Periamedu	29
330417	Purasaiwalkkam	29
330418	Royapuram	29
