zone_type_id	code	name	block_id	
1	330000216	-1	2	
1	330000217	-1	2	
1	330000218	-1	2	
1	330000219	-1	2	
1	330000220	-1	2	
1	330000221	-1	2	
1	330000222	-1	2	
1	330000223	-1	2	
1	330000224	-1	2	
1	330000225	-1	2	
1	330000226	-1	2	
1	330000227	-1	2	
1	330000228	-1	2	
1	330000229	-1	2	
1	330000230	-1	2	
1	330000231	-1	2	
1	330000232	-1	194	
1	330000233	-1	199	
1	330000234	-1	234	
1	330000235	-1	70	
1	330000236	-1	11	
1	330000237	-1	11	
1	330000238	-1	11	
1	330000239	-1	132	
1	330000240	-1	68	
1	330000241	-1	11	
1	330000242	-1	72	
1	330000243	-1	46	
1	330000244	-1	234	
1	330000245	-1	11	
1	330000246	-1	74	
1	330000247	-1	74	
1	330000248	-1	324	
1	330000249	-1	317	
1	330000250	-1	74	
1	330000251	-1	74	
1	330000252	-1	245	
1	330000253	-1	235	
1	330000254	-1	74	
1	330000255	-1	74	
1	330000256	-1	84	
1	330000257	-1	74	
1	330000258	-1	74	
1	330000259	-1	216	
1	330000260	-1	2	
1	330000261	-1	12	
1	330000262	-1	12	
1	330000263	-1	370	
1	330000264	-1	2	
1	330000265	-1	2	
1	330000266	-1	2	
1	330000267	-1	2	
1	330000268	-1	2	
1	330000269	-1	2	
1	330000270	-1	2	
1	330000271	-1	2	
1	330000272	-1	2	
1	330000273	-1	367	
1	330000274	-1	2	
1	330000275	-1	2	
1	330000276	-1	2	
1	330000277	-1	313	
1	330000278	-1	313	
1	330000279	-1	6	
1	330000280	-1	342	
1	330000281	-1	235	
1	330000282	-1	365	
1	330000283	-1	237	
1	330000284	-1	237	
1	330000285	-1	53	
1	330000286	-1	7	
1	330000287	-1	57	
1	330000288	-1	7	
1	330000289	-1	237	
1	330000290	-1	388	
1	330000291	-1	132	
1	330000292	-1	132	
1	330000293	-1	132	
1	330000294	-1	132	
1	330000295	-1	132	
1	330000296	-1	132	
1	330000297	-1	132	
1	330000298	-1	132	
1	330000299	-1	235	
1	330000300	-1	132	
1	330000301	-1	132	
1	330000302	-1	14	
1	330000303	-1	12	
1	330000304	-1	337	
1	330000305	-1	210	
1	330000306	-1	387	
1	330000307	-1	227	
1	330000308	-1	387	
1	330000309	-1	124	
1	330000310	-1	436	
1	330000311	-1	344	
1	330000312	-1	432	
1	330000313	-1	332	
1	330000314	-1	49	
1	330000315	-1	49	
1	330000316	-1	49	
1	330000317	-1	84	
1	330000318	1-ST WARD	116	
1	330000319	12 PUTHUR	104	
1	330000320	12 PUTHUR	104	
1	330000321	12 PUTHUR	104	
1	330000322	12 PUTHUR	104	
1	330000323	139, THANDALAM	2	
1	330000324	139, THANDALAM	2	
1	330000325	139, THANDALAM	2	
1	330000326	144 THANDALAM	2	
1	330000327	144 THANDALAM	2	
1	330000328	144,THANDALAM	2	
1	330000329	149 BUDUR	11	
1	330000330	149 BUDUR	11	
1	330000331	16 VELAMPALAYAM	439	
1	330000332	16 VELAMPALAYAM	439	
1	330000333	16 VELAMPALAYAM	439	
1	330000334	16-PUDUR	314	
1	330000335	16-PUDUR	314	
1	330000336	18.PUTHUKUDI	231	
1	330000337	19 THANDARAI	3	
1	330000338	19.THANDARAI	3	
1	330000339	2, Balluchetti chattaram, kanchipuram	1	
1	330000340	22, najundapuram	189	
1	330000341	22, najundapuram	189	
1	330000342	23,KOLATHUR	10	
1	330000343	23,KOLATHUR	10	
1	330000344	230 VALLAM	6	
1	330000345	23A KOLATHUR	10	
1	330000346	24 VELLUR	212	
1	330000347	24 VELLUR	212	
1	330000348	24 VELLUR	212	
1	330000349	24 VELLUR	212	
1	330000350	24 VELLUR	212	
1	330000351	24 VELLUR	212	
1	330000352	24 VELLUR	212	
1	330000353	24 VELLUR	212	
1	330000354	24 VELLUR	212	
1	330000355	24 VELLUR	212	
1	330000356	24 VILLIYANALLUR	229	
1	330000357	24,VEERAPANDI	189	
1	330000358	25 Veppampattu	15	
1	330000359	25 Veppampattu	15	
1	330000360	26 VEPPAMPATTU	15	
1	330000361	26 VEPPAMPATTU	15	
1	330000362	43, PANAPAKKAM	18	
1	330000363	44 REGUNATHAPURAM	230	
1	330000364	44 REGUNATHAPURAM	230	
1	330000365	5-puthur	105	
1	330000366	5-puthur	105	
1	330000367	5-puthur	105	
1	330000368	5-puthur	105	
1	330000369	5-puthur	105	
1	330000370	5-puthur	105	
1	330000371	5-puthur	105	
1	330000372	5-puthur	105	
1	330000373	5, ANNASALAI, BALUCHETTICHATIRAM, KANCHIPURAM	1	
1	330000374	51 MANJAKKUDI	231	
1	330000375	52.PUTHUKUDI	231	
1	330000376	52.PUTHUKUDI	231	
1	330000377	57 KOLATHUR	10	
1	330000378	57 KOLATHUR	10	
1	330000379	57. KULAMANICKAM	237	
1	330000380	57. KULAMANICKAM	237	
1	330000381	57. KULAMANICKAM	237	
1	330000382	63,VELAMPALAYAM	437	
1	330000383	63,VELAMPALAYAM	437	
1	330000384	63,VELAMPALAYAM	437	
1	330000385	66 METTUPATTI	284	
1	330000386	66 METTUPATTI	284	
1	330000387	73 KOLATHUR	6	
1	330000388	74 ANNANAGAR	118	
1	330000389	74 KRISHNAPURAM	118	
1	330000390	82 KEELA SATTANATHAPURAM	225	
1	330000391	82 KEELA SATTANATHAPURAM	225	
1	330000392	82 KEELA SATTANATHAPURAM	225	
1	330000393	82, PANAPAKKAM	18	
1	330000394	82, PANAPAKKAM	18	
1	330000395	83,THANDALAM	4	
1	330000396	83.KULAMANICKAM	237	
1	330000397	83.KULAMANICKAM	237	
1	330000398	85 GOUNDAMPALAYAM	151	
1	330000399	85 GOUNDAMPALAYAM	151	
1	330000400	85 GOUNDAMPALAYAM	151	
1	330000401	85 GOUNDAMPALAYAM	151	
1	330000402	85 GOUNDAMPALAYAM	151	
1	330000403	85 GOUNDAMPALAYAM	151	
1	330000404	85 Seedevimangalam	244	
1	330000405	85 Seedevimangalam	244	
1	330000406	87 GOUNDAMPALAYAM	151	
1	330000407	87 GOUNDAMPALAYAM	151	
1	330000408	92 KEEZHAIYUR	225	
1	330000409	94 Kariyamanickam	244	
1	330000410	94 Kariyamanickam	244	
1	330000411	94 KARIYAMANICKAM	244	
1	330000412	94 KARIYAMANICKAM	244	
1	330000413	94 KARIYAMANICKAM	244	
1	330000414	9A NATHAMPANNAI	272	
1	330000415	A . RADHANALLUR	229	
1	330000416	A ANNANDAPATTI	80	
1	330000417	A ERAYAMANGALAM	159	
1	330000418	A ERAYAMANGALAM	159	
1	330000419	A ERAYAMANGALAM	159	
1	330000420	A ERAYAMANGALAM	159	
1	330000421	A GOLLAHALLI	160	
1	330000422	A GOLLAHALLI	160	
1	330000423	A GOLLAHALLI	160	
1	330000424	A GOLLAHALLI	160	
1	330000425	A GOLLAHALLI	160	
1	330000426	A JETTIHALLI	161	
1	330000427	A K SAMUDRAM	158	
1	330000428	A KALAPOOR	357	
1	330000429	A KUDALUR	51	
1	330000430	A KUDALUR COLONY	51	
1	330000431	A MUKKULAM	340	
1	330000432	A MUKKULAM	340	
1	330000433	A MUTHUGAPATTI	155	
1	330000434	A MUTHUGAPATTI	155	
1	330000435	A MUTHUGAPATTI	155	
1	330000436	A PALLIPATTI	167	
1	330000437	A THEKKUR	361	
1	330000438	A THIRUMALA PURAM	380	
1	330000439	A THIRUMALA PURAM	380	
1	330000440	A THIRUMALA PURAM	380	
1	330000441	A-Mettupalayam	184	
1	330000442	A,KURUMBUR	55	
1	330000443	A.    KALAYAMPUTHUR	321	
1	330000444	A.    KALAYAMPUTHUR	321	
1	330000445	A.    KALAYAMPUTHUR	321	
1	330000446	A.    KALAYAMPUTHUR	321	
1	330000447	A.    KALAYAMPUTHUR	321	
1	330000448	A. KARUPPAMPATTY	256	
1	330000449	A. KOTTAVOO4	70	
1	330000450	A. KOTTAVOO4	70	
1	330000451	A. THOTTIYANKULAM	350	
1	330000452	A.Agaram	38	
1	330000453	A.BOMMALAPALAYAM	152	
1	330000454	A.C.V.MANGALAM	333	
1	330000455	A.Chithur	38	
1	330000456	A.D. STREET	116	
1	330000457	A.JETTIHALLI	161	
1	330000458	A.JETTIHALLI	161	
1	330000459	A.JETTIHALLI	161	
1	330000460	A.JETTIHALLI	161	
1	330000461	A.JETTIHALLI	161	
1	330000462	A.JETTIHALLI	161	
1	330000463	A.JETTIHALLI	161	
1	330000464	A.K.KUCHIPALAYAM	48	
1	330000465	A.K.MOTTOR	80	
1	330000466	a.k.mottur	80	
1	330000467	a.k.mottur	80	
1	330000468	a.k.mottur	80	
1	330000469	A.K.MOTTUR	80	
1	330000470	A.K.MOTTUR	80	
1	330000471	A.KALLANGATHU	256	
1	330000472	A.KARADIPATTI	137	
1	330000473	A.KARISALKULAM	370	
1	330000474	A.KARISALKULAM	370	
1	330000475	A.KARISALKULAM	370	
1	330000476	A.KARISALKULAM	370	
1	330000477	A.KATCHAN	333	
1	330000478	A.KATCHAN	333	
1	330000479	A.KATCHAN	333	
1	330000480	A.KOKKULAM	295	
1	330000481	A.KOKKULAM	295	
1	330000482	A.KOKKULAM	295	
1	330000483	A.KOLATHUR	57	
1	330000484	A.KOMARAPALAYAM	137	
1	330000485	A.KONTHALAM	152	
1	330000486	A.KONTHALAM	152	
1	330000487	A.KONTHALAM	152	
1	330000488	A.KOODALUR	45	
1	330000489	A.KUMARAMANGALAM	57	
1	330000490	A.KUMARAMANGALAM COL.	57	
1	330000491	A.Kumarapalayam	184	
1	330000492	A.KUNNATHUR	152	
1	330000493	A.KUNNATHUR	152	
1	330000494	A.LAKSHMIAPURAM	346	
1	330000495	A.LAKSHMIAPURAM	346	
1	330000496	A.LAKSHMIAPURAM	346	
1	330000497	A.LAKSHMIAPURAM	346	
1	330000498	A.LAKSHMIAPURAM	346	
1	330000499	A.MANAKUDI	335	
1	330000500	A.MAZAVARAYANUR	57	
1	330000501	A.Mettupalayam	184	
1	330000502	A.N.MANGALAM	134	
1	330000503	A.N.MANGALAM	134	
1	330000504	A.N.MANGALAM	134	
1	330000505	A.N.MANGALAM	134	
1	330000506	A.N.MANGALAM	134	
1	330000507	A.N.MANGALAM	134	
1	330000508	A.N.MANGALAM	134	
1	330000509	A.N.MANGALAM	134	
1	330000510	A.NADUPATTY	265	
1	330000511	A.NAGORE	191	
1	330000512	A.NAGORE	191	
1	330000513	A.nagore	191	
1	330000514	A.PANAIYUR	333	
1	330000515	A.PANDALAM	61	
1	330000516	A.PERIYAPALAYAM	439	
1	330000517	A.PERIYAPALAYAM	439	
1	330000518	A.PERIYAPALAYAM	439	
1	330000519	A.Poruvai	245	
1	330000520	A.Poruvai	245	
1	330000521	A.Poruvai	245	
1	330000522	A.Poruvai	245	
1	330000523	A.Poruvai	245	
1	330000524	A.Poruvai	245	
1	330000525	A.Poruvai	245	
1	330000526	A.Poruvai	245	
